hobby,category,type,description
cricket,sport,outdoor,Team sport played on a large field with bat and ball
scooter,transport/outdoor,outdoor,Riding a scooter outdoors
pickleball,sport,outdoor,Paddle sport played on a small court
badminton,sport,indoor,Racket sport played indoors or outdoors
board games,leisure,indoor,Games played on a board like chess or monopoly
painting,art,indoor,Creating art using paints and brushes
reading,leisure,indoor,"Reading books, articles or magazines"
hiking,sport/outdoor,outdoor,Walking on trails in nature
cycling,sport/outdoor,outdoor,Riding a bicycle outdoors
yoga,fitness,indoor,Physical and mental practice indoors
swimming,sport/outdoor,outdoor,Swimming in pools or open water
gardening,leisure/outdoor,outdoor,Cultivating plants and flowers
photography,art/outdoor,both,Capturing images indoors or outdoors
chess,board game,indoor,Strategy game played on a board
running,fitness/outdoor,outdoor,Running outdoors for fitness
fishing,leisure/outdoor,outdoor,Catching fish in lakes or rivers
cooking,leisure,indoor,Preparing food and recipes
dancing,fitness/art,indoor,Moving rhythmically to music indoors
camping,leisure/outdoor,outdoor,Staying outdoors overnight in tents
kayaking,sport/outdoor,outdoor,Paddling a kayak on water
skateboarding,sport/outdoor,outdoor,Performing tricks on a skateboard
playing guitar,music,indoor,Playing guitar indoors or outdoors
board/card games,leisure,indoor,Playing cards or board games
meditation,wellness,indoor,Mental practice indoors
bird watching,leisure/outdoor,outdoor,Observing birds in nature
scrapbooking,craft,indoor,Creating decorative photo albums
soccer,sport/outdoor,outdoor,Team sport played outdoors on grass
puzzles,leisure,indoor,Solving jigsaw or logic puzzles
basketball,sport/outdoor,outdoor,Team sport played on court
writing,art,indoor,Creative writing indoors
